key,title,paper_claim,null_hypothesis,alternative_hypothesis,primary_metric,direction,tier,caveat
tadm_sparse,TADM selective sparse memory under a fixed memory budget,Salience/novelty/confidence-weighted sparse writes improve useful retrieval under bounded memory.,H0: weighted sparse retention has retrieval accuracy <= budget-matched uniform retention.,HA: weighted sparse retention has retrieval accuracy > budget-matched uniform retention.,retrieval_accuracy,greater,core,"Synthetic records make usefulness observable; this validates the mechanism, not universal memory superiority."
emg_multihop,EMG multi-hop temporal/causal reasoning,Graph-structured episodic relations support multi-hop reasoning better than flat episodic lookup.,H0: EMG multi-hop query accuracy <= flat episodic lookup accuracy.,HA: EMG multi-hop query accuracy > flat episodic lookup accuracy.,multihop_accuracy,greater,core,The task specifically requires relational composition; results do not establish superiority on non-relational tasks.
dream_consolidation,Dream consolidation for redundancy/conflict compression,"Consolidation merges redundant episodes, resolves conflicts, and reduces memory growth while preserving useful recall.",H0: consolidation does not reduce retained record count relative to no consolidation.,HA: consolidation retains fewer records than no consolidation.,retained_records,less,core,"Accuracy preservation is reported as a secondary non-inferiority diagnostic, not inferred from the primary p-value."
pad_risk,PAD-modulated risk-sensitive action selection,Arousal/affect-aware risk modulation reduces unsafe actions in hazardous contexts.,H0: PAD-aware policy has unsafe-action rate >= affect-agnostic policy.,HA: PAD-aware policy has unsafe-action rate < affect-agnostic policy.,unsafe_action_rate,less,core,"This tests programmed affective modulation, not subjective emotion or consciousness."
tam_postpone,Temporal Action Modulation: remember/postpone/forget,Priority-sensitive postponement/forgetting improves deadline-weighted utility under finite attention.,H0: TAM total deadline-weighted utility <= FIFO/immediate baseline utility.,HA: TAM total deadline-weighted utility > FIFO/immediate baseline utility.,deadline_utility,greater,core,"Synthetic scheduling is an operational test of temporal control, not human procrastination."
auto_cue,Automatic cue determination,Selecting cues using expected retrieval-benefit proxies improves retrieval/task success over an uncalibrated cue.,H0: auto-cue success <= random/fixed cue success.,HA: auto-cue success > random/fixed cue success.,cue_success,greater,core,Proxy-score quality is independently noisy so the test is not a deterministic restatement of the scoring rule.
curiosity,Curiosity-driven novelty/uncertainty exploration,Curiosity bonuses improve discovery of useful unknown states under the same interaction budget.,H0: curiosity-guided agent discovers <= useful latent opportunities than no-curiosity exploration.,HA: curiosity-guided agent discovers > useful latent opportunities than no-curiosity exploration.,useful_discoveries,greater,core,The comparison equalizes total interactions; curiosity is not credited for simply spending more steps.
intuition,Intuition heuristic prior for familiar decisions,A learned heuristic prior reduces deliberation cost on familiar states while maintaining comparable correctness.,H0: intuition provides no reduction in decision cost relative to full deliberation.,HA: intuition reduces decision cost relative to full deliberation.,decision_cost,less,core,Accuracy and reversal susceptibility are secondary diagnostics; speed alone is not interpreted as intelligence.
bootstrapping,Knowledge bootstrapping / memory transplant,Compatible transferred episodic knowledge accelerates target adaptation relative to learning from scratch.,H0: compatible memory transplant target accuracy <= scratch target accuracy at the same low-data budget.,HA: compatible memory transplant target accuracy > scratch target accuracy at the same low-data budget.,fewshot_accuracy,greater,core,A separate incompatible-transfer stress test checks negative transfer and compatibility gating.
shared_gltm,SharedGLTM societal/global memory transfer,Reliability-weighted shared memory improves an inexperienced agent's held-out decisions.,H0: reliability-weighted SharedGLTM novice accuracy <= local-only novice accuracy.,HA: reliability-weighted SharedGLTM novice accuracy > local-only novice accuracy.,novice_accuracy,greater,core,"This tests information sharing under controlled source reliabilities, not societal consensus legitimacy."
validator_reflection,Validator consensus plus reflective safety layer,Trust-weighted consensus and reflection reduce unsafe action execution compared with a single validator.,H0: consensus+reflection unsafe execution rate >= single-validator unsafe execution rate.,HA: consensus+reflection unsafe execution rate < single-validator unsafe execution rate.,unsafe_execution_rate,less,core,The paper's illustrative 1e-6 safety constraint cannot be established with this laptop-scale sample; this tests relative risk reduction.
truth_conflict,Incremental confidence/credibility conflict resolution,Provenance/reliability-weighted evidence corrects false beliefs and resists later misinformation.,H0: credibility-weighted final fact accuracy <= unweighted frequency/recency baseline.,HA: credibility-weighted final fact accuracy > unweighted frequency/recency baseline.,final_fact_accuracy,greater,core,Ground truth and source reliability are known in simulation; real-world truth adjudication requires external evidence.
dream_rehearsal,Validated counterfactual dream rehearsal,Validated recombination of prior episodes improves held-out compositional decisions beyond replay-only memory.,H0: validated dream rehearsal held-out composition accuracy <= replay-only accuracy.,HA: validated dream rehearsal held-out composition accuracy > replay-only accuracy.,composition_accuracy,greater,core,Dream candidates are validated by the synthetic causal simulator and use the same number of training examples as replay.
gigo_filter,Input quality gating and cross-validation (GIGO mitigation),Quality/provenance gating reduces downstream belief corruption under noisy/adversarial observations.,H0: gated final belief accuracy <= accept-all baseline accuracy under corrupted inputs.,HA: gated final belief accuracy > accept-all baseline accuracy under corrupted inputs.,belief_accuracy,greater,core,False-rejection rate is reported because aggressive filtering can appear accurate by discarding too much.
mimic_safety,Trust-weighted observational imitation with safety validation,Outcome/trust-weighted mimicking accelerates skill acquisition while validator gating reduces unsafe imitation.,H0: safe trust-weighted imitation few-shot task reward <= no-imitation learner reward.,HA: safe trust-weighted imitation few-shot task reward > no-imitation learner reward.,fewshot_reward,greater,core,Unsafe imitation rate is a co-diagnostic; imitation advantage should not be credited if safety worsens materially.
